contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness
SPY260821C00600000,2026-07-20 17:26:39+00:00,600.0,147.1,148.58,150.38,0.0,0.0,7.0,777,0.5591169577026368,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,149.48000000000002,1.799999999999983,0.012041744715011926,0.8058889971197404,-0.21580926665498568
SPY260821C00605000,2026-07-16 18:18:07+00:00,605.0,149.25,143.63,145.49,0.0,0.0,4.0,113,0.5449569430541993,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,144.56,1.8600000000000136,0.012866629773104687,0.8126047387624049,-0.20751046384029057
SPY260821C00610000,2026-07-20 16:25:51+00:00,610.0,139.39,138.71,140.41,0.0,0.0,2.0,449,0.5285081329345704,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,139.56,1.6999999999999886,0.01218114072800221,0.8193204804050694,-0.19927996470377507
SPY260821C00615000,2026-07-20 17:43:11+00:00,615.0,132.03,132.73,135.57,0.0,0.0,3.0,98,0.5004932763671875,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,134.14999999999998,2.8400000000000034,0.021170331718225896,0.8260362220477339,-0.19111665406461423
SPY260821C00620000,2026-07-17 16:06:11+00:00,620.0,128.85,127.92,129.62,0.0,0.0,12.0,102,0.4973194799804688,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,128.77,1.7000000000000028,0.013201832725013612,0.8327519636903984,-0.1830194438319948
SPY260821C00625000,2026-07-16 16:39:20+00:00,625.0,130.38,123.09,125.43,0.0,0.0,4.0,136,0.5017139672851563,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,124.26,2.3400000000000034,0.01883148237566396,0.8394677053330629,-0.17498727213473053
SPY260821C00630000,2026-07-20 19:52:04+00:00,630.0,115.5,117.61,120.01,0.0,0.0,4.0,499,0.4745535943603516,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,118.81,2.4000000000000057,0.020200319838397488,0.8461834469757274,-0.16701910248555363
SPY260821C00635000,2026-07-20 14:23:18+00:00,635.0,113.53,112.88,115.72,0.0,0.0,14.0,102,0.475041870727539,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,114.3,2.8400000000000034,0.024846894138232753,0.8528991886183919,-0.15911392297844046
SPY260821C00640000,2026-07-20 14:20:18+00:00,640.0,108.79,108.07,110.96,0.0,0.0,22.0,2598,0.4635978933715821,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,109.51499999999999,2.8900000000000006,0.026389079121581525,0.8596149302610564,-0.1512707455174145
SPY260821C00645000,2026-07-20 14:19:45+00:00,645.0,103.91,102.8,105.27,0.0,0.0,2.0,252,0.4310359631347656,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,104.035,2.469999999999999,0.02374200990051424,0.8663306719037209,-0.14348860507535954
SPY260821C00650000,2026-07-20 14:53:58+00:00,650.0,97.97,97.93,100.44,0.0,0.0,173.0,848,0.4182187084960937,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,99.185,2.509999999999991,0.025306245904118473,0.8730464135463855,-0.1357665589814492
SPY260821C00651000,2026-06-11 17:29:25+00:00,651.0,89.64,105.85,108.65,0.0,0.0,1.0,15,0.5623212713623047,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,107.25,2.8000000000000114,0.026107226107226215,0.8743895618749183,-0.1342292796625628
