contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility,previous_mid_price,passes_monotonicity
SPY260821P00600000,2026-07-21 13:30:01+00:00,600.0,0.51,0.5,0.51,-0.110000014,-17.741938,5.0,119365,0.3542545043945311,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.505,0.01,0.0198019801980198,0.8058889971197404,-0.2158092666549856,0.085639129930175,31.25828242451389,0.0,597.9481772144636,True,0.3629098840129739,,True
SPY260821P00605000,2026-07-20 18:37:45+00:00,605.0,0.61,0.54,0.55,0.0,0.0,43.0,11967,0.3464420825195312,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.545,0.01,0.018348623853211,0.8126047387624049,-0.2075104638402905,0.085639129930175,31.25828242451389,0.0,602.9310786912508,True,0.3551064501362796,0.505,True
SPY260821P00610000,2026-07-20 19:23:05+00:00,610.0,0.72,0.57,0.58,0.0,0.0,554.0,3492,0.3374089697265625,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.575,0.01,0.0173913043478261,0.8193204804050694,-0.199279964703775,0.085639129930175,31.25828242451389,0.0,607.9139801680379,True,0.3460201825338932,0.545,True
SPY260821P00615000,2026-07-20 18:42:55+00:00,615.0,0.72,0.62,0.63,0.0,0.0,113.0,49661,0.3298406860351562,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.625,0.01,0.016,0.8260362220477339,-0.1911166540646142,0.085639129930175,31.25828242451389,0.0,612.8968816448252,True,0.3385061594176851,0.575,True
SPY260821P00620000,2026-07-20 19:41:33+00:00,620.0,0.78,0.67,0.68,0.0,0.0,107.0,13306,0.3220282641601562,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.675,0.01,0.0148148148148148,0.8327519636903984,-0.1830194438319948,0.085639129930175,31.25828242451389,0.0,617.8797831216124,True,0.3305847456208346,0.625,True
SPY260821P00625000,2026-07-20 19:55:07+00:00,625.0,0.88,0.71,0.72,0.0,0.0,82.0,7299,0.3129951513671875,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.715,0.01,0.013986013986014,0.8394677053330629,-0.1749872721347305,0.085639129930175,31.25828242451389,0.0,622.8626845983996,True,0.3215414748448122,0.675,True
SPY260821P00630000,2026-07-20 20:07:00+00:00,630.0,0.94,0.75,0.76,0.0,0.0,930.0,108999,0.3037179003906249,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.755,0.01,0.0132450331125827,0.8461834469757274,-0.1670191024855536,0.085639129930175,31.25828242451389,0.0,627.8455860751868,True,0.3122631336413584,0.715,True
SPY260821P00635000,2026-07-21 13:31:37+00:00,635.0,0.81,0.82,0.83,-0.21999997,-21.35922,2.0,13930,0.2961496166992187,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.825,0.01,0.0121212121212121,0.8528991886183919,-0.1591139229784404,0.085639129930175,31.25828242451389,0.0,632.8284875519739,True,0.3047582409770151,0.755,True
SPY260821P00640000,2026-07-20 19:46:47+00:00,640.0,1.06,0.87,0.89,0.0,0.0,924.0,8472,0.2876047802734374,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.88,0.02,0.0227272727272727,0.8596149302610564,-0.1512707455174145,0.085639129930175,31.25828242451389,0.0,637.8113890287611,True,0.2958614730334454,0.825,True
SPY260821P00645000,2026-07-20 19:52:36+00:00,645.0,1.18,0.95,0.96,0.0,0.0,152.0,5269,0.2791820129394531,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,0.955,0.01,0.0104712041884816,0.8663306719037209,-0.1434886050753595,0.085639129930175,31.25828242451389,0.0,642.7942905055484,True,0.2878029324922871,0.88,True
SPY260821P00650000,2026-07-21 13:30:04+00:00,650.0,1.04,1.04,1.05,-0.25,-19.379845,1.0,23797,0.2714306256103516,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.045,0.01,0.0095693779904306,0.8730464135463855,-0.1357665589814492,0.085639129930175,31.25828242451389,0.0,647.7771919823356,True,0.2800908985947856,0.955,True
SPY260821P00651000,2026-07-20 14:47:56+00:00,651.0,1.24,1.05,1.06,0.0,0.0,10.0,405,0.2694164855957031,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.0550000000000002,0.01,0.0094786729857819,0.8743895618749183,-0.1342292796625628,0.085639129930175,31.25828242451389,0.0,648.773772277693,True,0.2780728452152926,1.045,True
SPY260821P00652000,2026-07-20 16:18:29+00:00,652.0,1.11,1.06,1.07,0.0,0.0,12.0,3426,0.2674023455810547,False,REGULAR,USD,SPY,put,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,1.065,0.01,0.0093896713615023,0.8757327102034512,-0.1326943599444791,0.085639129930175,31.25828242451389,0.0,649.7703525730504,True,0.2760459081843677,1.0550000000000002,True
