contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility
SPY260731P00595000,2026-07-24 17:18:35+00:00,595.0,0.03,0.03,0.04,-0.03,-50.0,1.0,3096,0.55273884765625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.035,0.01,0.2857142857142857,0.8052183562719067,-0.2166417883179977,0.0170623064188229,6.22774184287037,0.0,594.5940556499271,True,0.5879101785731167
SPY260731P00600000,2026-07-24 19:00:35+00:00,600.0,0.05,0.03,0.04,0.010000002,25.000006,41.0,11796,0.53320779296875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.035,0.01,0.2857142857142857,0.8119848970809144,-0.2082735386474811,0.0170623064188229,6.22774184287037,0.0,599.5906443528677,True,0.5671532004576102
SPY260731P00605000,2026-07-24 17:48:08+00:00,605.0,0.05,0.03,0.04,0.0,0.0,14.0,1484,0.5136767382812499,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.035,0.01,0.2857142857142857,0.818751437889922,-0.199974735832786,0.0170623064188229,6.22774184287037,0.0,604.5872330558082,True,0.5465178530460225
SPY260731P00610000,2026-07-24 13:57:05+00:00,610.0,0.05,0.04,0.05,-0.02,-28.571426,52.0,1035,0.507817421875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.01,0.2222222222222222,0.8255179786989296,-0.1917442366962705,0.0170623064188229,6.22774184287037,0.0,609.5838217587487,True,0.5391121264254377
SPY260731P00615000,2026-07-24 19:48:07+00:00,615.0,0.05,0.04,0.05,-0.02,-28.571426,78.0,736,0.492192578125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.01,0.2222222222222222,0.8322845195079372,-0.1835809260571096,0.0170623064188229,6.22774184287037,0.0,614.5804104616893,True,0.5182738624918759
SPY260731P00620000,2026-07-24 19:48:06+00:00,620.0,0.05,0.04,0.05,-0.02,-28.571426,57.0,2548,0.4726615234375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.01,0.2222222222222222,0.8390510603169449,-0.1754837158244902,0.0170623064188229,6.22774184287037,0.0,619.5769991646299,True,0.4975434270644374
SPY260731P00621000,2026-07-22 17:41:40+00:00,621.0,0.04,0.04,0.05,0.0,0.0,22.0,1082,0.4687553125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.01,0.2222222222222222,0.8404043684787463,-0.1738721119301488,0.0170623064188229,6.22774184287037,0.0,620.576316905218,True,0.4934098271495326
SPY260731P00622000,2026-07-24 16:58:50+00:00,622.0,0.05,0.04,0.05,0.0,0.0,25.0,746,0.4648491015625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.01,0.2222222222222222,0.8417576766405479,-0.172263101124448,0.0170623064188229,6.22774184287037,0.0,621.5756346458061,True,0.489280306426689
SPY260731P00623000,2026-07-23 15:02:16+00:00,623.0,0.07,0.05,0.06,0.0,0.0,1.0,950,0.469731865234375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.8431109848023494,-0.1706566750761744,0.0170623064188229,6.22774184287037,0.0,622.5749523863942,True,0.4953013429202734
SPY260731P00624000,2026-07-24 20:07:01+00:00,624.0,0.05,0.05,0.06,-0.029999997,-37.499996,4.0,345,0.465825654296875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.8444642929641509,-0.1690528254941998,0.0170623064188229,6.22774184287037,0.0,623.5742701269824,True,0.491107449193947
SPY260731P00625000,2026-07-24 19:28:26+00:00,625.0,0.07,0.05,0.06,-0.020000003,-22.222225,925.0,3451,0.461919443359375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.0099999999999999,0.1818181818181817,0.8458176011259525,-0.167451544127226,0.0170623064188229,6.22774184287037,0.0,624.5735878675705,True,0.4869174856480994
