contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility
SPY260731C00595000,2026-07-23 15:41:23+00:00,595.0,143.85,142.72,145.32,0.0,0.0,2.0,296,0.6074258007812501,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,144.01999999999998,2.5999999999999943,0.018053048187751664,0.8052183562719067,-0.21664178831799777,0.01706230641882293,6.22774184287037,144.33594435007285,738.93,False,
SPY260731C00600000,2026-07-24 20:00:27+00:00,600.0,139.19,139.06,139.19,0.58999634,0.42568278,54.0,6302,0.6435582519531251,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,139.125,0.12999999999999545,0.0009344115004492036,0.8119848970809144,-0.20827353864748116,0.01706230641882293,6.22774184287037,139.33935564713227,738.93,False,
SPY260731C00605000,2026-07-24 14:32:48+00:00,605.0,134.64,132.37,135.82,-7.830002,-5.495895,5.0,20,0.6074258007812501,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,134.095,3.4499999999999886,0.025728028636414397,0.818751437889922,-0.19997473583278605,0.01706230641882293,6.22774184287037,134.3427669441918,738.93,False,
SPY260731C00610000,2026-07-23 19:57:26+00:00,610.0,128.43,127.74,130.34,0.0,0.0,6.0,124,0.5576216113281252,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,129.04,2.6000000000000085,0.020148791072535716,0.8255179786989296,-0.19174423669627058,0.01706230641882293,6.22774184287037,129.3461782412512,738.93,False,
SPY260731C00615000,2026-07-24 13:49:01+00:00,615.0,124.93,122.75,125.35,0.9599991,0.77438015,2.0,572,0.5410202148437502,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,124.05,2.5999999999999943,0.02095929060862551,0.8322845195079372,-0.18358092605710963,0.01706230641882293,6.22774184287037,124.34958953831062,738.93,False,
SPY260731C00620000,2026-07-13 17:59:17+00:00,620.0,130.99,117.76,120.36,0.0,0.0,5.0,1231,0.52539537109375,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,119.06,2.5999999999999943,0.021837728876196828,0.8390510603169449,-0.17548371582449027,0.01706230641882293,6.22774184287037,119.35300083537004,738.93,False,
SPY260731C00622000,2026-07-23 16:26:35+00:00,622.0,118.09,115.4,118.85,0.0,0.0,2.0,10,0.543949873046875,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,117.125,3.4499999999999886,0.02945570971184622,0.8417576766405479,-0.17226310112444806,0.01706230641882293,6.22774184287037,117.35436535419387,738.93,False,
SPY260731C00623000,2026-07-15 17:42:08+00:00,623.0,132.06,114.4,117.85,0.0,0.0,1.0,94,0.5390671093750001,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,116.125,3.4499999999999886,0.02970936490850367,0.8431109848023494,-0.17065667507617446,0.01706230641882293,6.22774184287037,116.35504761360573,738.93,False,
SPY260731C00625000,2026-07-24 19:10:34+00:00,625.0,113.6,112.77,115.37,-8.419998,-6.9005065,7.0,604,0.508793974609375,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,114.07,2.6000000000000085,0.02279302182870175,0.8458176011259525,-0.167451544127226,0.01706230641882293,6.22774184287037,114.35641213242945,738.93,False,
SPY260731C00626000,2026-07-24 15:22:00+00:00,626.0,116.7,111.4,114.86,2.5299988,2.2159927,29.0,2,0.5278367529296876,True,REGULAR,USD,SPY,call,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,113.13,3.4599999999999937,0.03058428356757707,0.847170909287754,-0.16585282276352903,0.01706230641882293,6.22774184287037,113.35709439184143,738.93,False,
