contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility
SPY260731P00595000,2026-07-24 17:18:35+00:00,595.0,0.03,0.03,0.04,-0.03,-50.0,1.0,3096,0.55273884765625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.035,0.010000000000000002,0.28571428571428575,0.8052183562719067,-0.21664178831799777,0.01706230641882293,6.22774184287037,0.0,594.5940556499271,True,0.5879101785731167
SPY260731P00600000,2026-07-24 19:00:35+00:00,600.0,0.05,0.03,0.04,0.010000002,25.000006,41.0,11796,0.53320779296875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.035,0.010000000000000002,0.28571428571428575,0.8119848970809144,-0.20827353864748116,0.01706230641882293,6.22774184287037,0.0,599.5906443528677,True,0.5671532004576102
SPY260731P00605000,2026-07-24 17:48:08+00:00,605.0,0.05,0.03,0.04,0.0,0.0,14.0,1484,0.5136767382812499,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.035,0.010000000000000002,0.28571428571428575,0.818751437889922,-0.19997473583278605,0.01706230641882293,6.22774184287037,0.0,604.5872330558082,True,0.5465178530460225
SPY260731P00610000,2026-07-24 13:57:05+00:00,610.0,0.05,0.04,0.05,-0.02,-28.571426,52.0,1035,0.507817421875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.010000000000000002,0.22222222222222227,0.8255179786989296,-0.19174423669627058,0.01706230641882293,6.22774184287037,0.0,609.5838217587487,True,0.5391121264254377
SPY260731P00615000,2026-07-24 19:48:07+00:00,615.0,0.05,0.04,0.05,-0.02,-28.571426,78.0,736,0.492192578125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.010000000000000002,0.22222222222222227,0.8322845195079372,-0.18358092605710963,0.01706230641882293,6.22774184287037,0.0,614.5804104616893,True,0.5182738624918759
SPY260731P00620000,2026-07-24 19:48:06+00:00,620.0,0.05,0.04,0.05,-0.02,-28.571426,57.0,2548,0.4726615234375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.010000000000000002,0.22222222222222227,0.8390510603169449,-0.17548371582449027,0.01706230641882293,6.22774184287037,0.0,619.5769991646299,True,0.4975434270644374
SPY260731P00621000,2026-07-22 17:41:40+00:00,621.0,0.04,0.04,0.05,0.0,0.0,22.0,1082,0.4687553125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.010000000000000002,0.22222222222222227,0.8404043684787463,-0.17387211193014881,0.01706230641882293,6.22774184287037,0.0,620.576316905218,True,0.49340982714953263
SPY260731P00622000,2026-07-24 16:58:50+00:00,622.0,0.05,0.04,0.05,0.0,0.0,25.0,746,0.4648491015625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.045,0.010000000000000002,0.22222222222222227,0.8417576766405479,-0.17226310112444806,0.01706230641882293,6.22774184287037,0.0,621.5756346458061,True,0.48928030642668907
SPY260731P00623000,2026-07-23 15:02:16+00:00,623.0,0.07,0.05,0.06,0.0,0.0,1.0,950,0.469731865234375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.8431109848023494,-0.17065667507617446,0.01706230641882293,6.22774184287037,0.0,622.5749523863942,True,0.49530134292027345
SPY260731P00624000,2026-07-24 20:07:01+00:00,624.0,0.05,0.05,0.06,-0.029999997,-37.499996,4.0,345,0.465825654296875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.8444642929641509,-0.16905282549419987,0.01706230641882293,6.22774184287037,0.0,623.5742701269824,True,0.491107449193947
SPY260731P00625000,2026-07-24 19:28:26+00:00,625.0,0.07,0.05,0.06,-0.020000003,-22.222225,925.0,3451,0.461919443359375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.8458176011259525,-0.167451544127226,0.01706230641882293,6.22774184287037,0.0,624.5735878675705,True,0.4869174856480994
SPY260731P00626000,2026-07-24 19:28:32+00:00,626.0,0.07,0.05,0.06,-0.009999998,-12.499998,751.0,877,0.4580132324218751,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.847170909287754,-0.16585282276352903,0.01706230641882293,6.22774184287037,0.0,625.5729056081585,True,0.48273139640338714
SPY260731P00627000,2026-07-24 19:29:53+00:00,627.0,0.07,0.05,0.06,-0.009999998,-12.499998,101.0,653,0.45313046875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.8485242174495555,-0.16425665323070682,0.01706230641882293,6.22774184287037,0.0,626.5722233487467,True,0.47854916283336285
SPY260731P00628000,2026-07-24 15:44:56+00:00,628.0,0.04,0.05,0.06,-0.04,-50.0,125.0,188,0.4492242578124999,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.849877525611357,-0.1626630273954289,0.01706230641882293,6.22774184287037,0.0,627.5715410893348,True,0.47437072905868305
SPY260731P00629000,2026-07-24 15:44:12+00:00,629.0,0.05,0.05,0.06,-0.05,-50.0,7.0,377,0.445318046875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.8512308337731586,-0.16107193716318702,0.01706230641882293,6.22774184287037,0.0,628.5708588299229,True,0.4701960205735565
SPY260731P00630000,2026-07-24 19:32:07+00:00,630.0,0.08,0.05,0.06,0.0,0.0,29.0,152456,0.4414118359375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.85258414193496,-0.15948337447804922,0.01706230641882293,6.22774184287037,0.0,629.570176570511,True,0.46602503737798334
SPY260731P00631000,2026-07-23 17:44:35+00:00,631.0,0.09,0.05,0.06,0.0,0.0,515.0,2312,0.437505625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.8539374500967616,-0.1578973313224144,0.01706230641882293,6.22774184287037,0.0,630.5694943110991,True,0.46185770496617273
SPY260731P00632000,2026-07-24 19:41:54+00:00,632.0,0.07,0.05,0.06,-0.020000003,-22.222225,527.0,1444,0.4335994140625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.8552907582585632,-0.1563137997167701,0.01706230641882293,6.22774184287037,0.0,631.5688120516872,True,0.4576939674587808
SPY260731P00633000,2026-07-24 19:52:59+00:00,633.0,0.06,0.05,0.06,-0.030000005,-33.333336,10.0,435,0.429693203125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.055,0.009999999999999995,0.18181818181818174,0.8566440664203646,-0.15473277171945138,0.01706230641882293,6.22774184287037,0.0,632.5681297922754,True,0.4535337876029127
SPY260731P00634000,2026-07-24 19:52:59+00:00,634.0,0.06,0.06,0.07,-0.030000005,-33.333336,26.0,872,0.4335994140625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.010000000000000009,0.15384615384615397,0.8579973745821662,-0.1531542394264016,0.01706230641882293,6.22774184287037,0.0,633.5674475328635,True,0.4575544367385581
SPY260731P00635000,2026-07-24 19:51:16+00:00,635.0,0.06,0.06,0.07,-0.05,-45.454548,28.0,845,0.429693203125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.010000000000000009,0.15384615384615397,0.8593506827439676,-0.15157819497093594,0.01706230641882293,6.22774184287037,0.0,634.5667652734516,True,0.45333838685261263
SPY260731P00636000,2026-07-24 19:59:54+00:00,636.0,0.06,0.06,0.07,-0.030000005,-33.333336,33.0,415,0.4257869921875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.010000000000000009,0.15384615384615397,0.8607039909057692,-0.1500046305235054,0.01706230641882293,6.22774184287037,0.0,635.5660830140397,True,0.449125726980161
SPY260731P00637000,2026-07-23 19:54:16+00:00,637.0,0.1,0.06,0.07,0.0,0.0,100.0,882,0.42188078125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.010000000000000009,0.15384615384615397,0.8620572990675708,-0.14843353829146413,0.01706230641882293,6.22774184287037,0.0,636.5654007546278,True,0.4449163919286355
SPY260731P00638000,2026-07-23 16:34:39+00:00,638.0,0.1,0.06,0.07,0.0,0.0,2.0,286,0.4179745703124999,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.010000000000000009,0.15384615384615397,0.8634106072293722,-0.14686491051883768,0.01706230641882293,6.22774184287037,0.0,637.564718495216,True,0.4407103537583649
SPY260731P00639000,2026-07-24 19:28:56+00:00,639.0,0.09,0.06,0.07,-0.029999994,-24.999996,8.0,495,0.4130918066406249,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.010000000000000009,0.15384615384615397,0.8647639153911738,-0.1452987394860927,0.01706230641882293,6.22774184287037,0.0,638.564036235804,True,0.43650752865033404
SPY260731P00640000,2026-07-24 19:48:58+00:00,640.0,0.07,0.06,0.07,-0.020000003,-22.222225,686.0,2555,0.4091855957031249,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.010000000000000009,0.15384615384615397,0.8661172235529753,-0.14373501750991005,0.01706230641882293,6.22774184287037,0.0,639.5633539763921,True,0.4323078886648715
SPY260731P00641000,2026-07-24 13:52:19+00:00,641.0,0.08,0.06,0.07,-0.04,-33.333336,25.0,264,0.405279384765625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.065,0.010000000000000009,0.15384615384615397,0.8674705317147768,-0.14217373694295748,0.01706230641882293,6.22774184287037,0.0,640.5626717169803,True,0.4281113592961858
SPY260731P00642000,2026-07-20 18:46:31+00:00,642.0,0.13,0.07,0.08,0.0,0.0,3.0,382,0.407232490234375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.07500000000000001,0.009999999999999995,0.13333333333333325,0.8688238398765784,-0.14061489017366632,0.01706230641882293,6.22774184287037,0.0,641.5619894575684,True,0.4307808365975879
SPY260731P00643000,2026-07-23 19:51:05+00:00,643.0,0.12,0.07,0.08,0.0,0.0,417.0,526,0.403326279296875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.07500000000000001,0.009999999999999995,0.13333333333333325,0.8701771480383799,-0.13905846962600818,0.01706230641882293,6.22774184287037,0.0,642.5613071981564,True,0.4265344349150062
SPY260731P00644000,2026-07-24 13:59:31+00:00,644.0,0.09,0.07,0.08,-0.029999994,-24.999996,1.0,2076,0.399420068359375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.07500000000000001,0.009999999999999995,0.13333333333333325,0.8715304562001814,-0.13750446775927389,0.01706230641882293,6.22774184287037,0.0,643.5606249387446,True,0.4222909575847238
SPY260731P00645000,2026-07-24 16:38:30+00:00,645.0,0.07,0.07,0.08,-0.049999997,-41.666664,24.0,17823,0.395513857421875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.07500000000000001,0.009999999999999995,0.13333333333333325,0.8728837643619829,-0.13595287706785508,0.01706230641882293,6.22774184287037,0.0,644.5599426793327,True,0.4180503301009499
SPY260731P00646000,2026-07-23 20:06:54+00:00,646.0,0.11,0.07,0.08,0.0,0.0,20.0,244,0.3916076464843749,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.07500000000000001,0.009999999999999995,0.13333333333333325,0.8742370725237845,-0.13440369008102568,0.01706230641882293,6.22774184287037,0.0,645.5592604199209,True,0.41381249658434094
SPY260731P00647000,2026-07-23 17:14:37+00:00,647.0,0.13,0.07,0.08,0.0,0.0,7.0,435,0.387701435546875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.07500000000000001,0.009999999999999995,0.13333333333333325,0.8755903806855859,-0.13285689936272704,0.01706230641882293,6.22774184287037,0.0,646.5585781605089,True,0.40957740115555374
SPY260731P00648000,2026-07-24 18:41:35+00:00,648.0,0.1,0.08,0.09,-0.019999996,-16.666664,8.0,859,0.38867798828125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.08499999999999999,0.009999999999999995,0.11764705882352937,0.8769436888473875,-0.13131249751135285,0.01706230641882293,6.22774184287037,0.0,647.557895901097,True,0.41127701794817495
SPY260731P00649000,2026-07-23 18:48:10+00:00,649.0,0.09,0.08,0.09,-0.03999999,-30.769226,1.0,747,0.3847717773437499,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.08499999999999999,0.009999999999999995,0.11764705882352937,0.8782969970091891,-0.12977047715953752,0.01706230641882293,6.22774184287037,0.0,648.5572136416852,True,0.40699652055295554
SPY260731P00650000,2026-07-24 19:46:46+00:00,650.0,0.09,0.08,0.09,-0.049999997,-35.714283,52.0,8695,0.3808655664062499,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.08499999999999999,0.009999999999999995,0.11764705882352937,0.8796503051709905,-0.12823083097394478,0.01706230641882293,6.22774184287037,0.0,649.5565313822733,True,0.4027185284149609
SPY260731P00651000,2026-07-24 20:06:46+00:00,651.0,0.09,0.08,0.09,-0.03999999,-30.769226,252.0,924,0.37695935546875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.08499999999999999,0.009999999999999995,0.11764705882352937,0.8810036133327921,-0.12669355165505827,0.01706230641882293,6.22774184287037,0.0,650.5558491228614,True,0.3984429763416238
SPY260731P00652000,2026-07-24 13:33:44+00:00,652.0,0.1,0.08,0.09,0.0,0.0,1.0,892,0.372076591796875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.08499999999999999,0.009999999999999995,0.11764705882352937,0.8823569214945935,-0.12515863193697466,0.01706230641882293,6.22774184287037,0.0,651.5551668634495,True,0.39416978051392915
SPY260731P00653000,2026-07-23 17:14:37+00:00,653.0,0.16,0.08,0.09,0.0,0.0,2.0,382,0.368170380859375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.08499999999999999,0.009999999999999995,0.11764705882352937,0.8837102296563951,-0.12362606458719648,0.01706230641882293,6.22774184287037,0.0,652.5544846040376,True,0.3898988757393098
SPY260731P00654000,2026-07-23 13:57:11+00:00,654.0,0.14,0.09,0.1,0.0,0.0,1.0,207,0.36914693359375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.095,0.010000000000000009,0.10526315789473693,0.8850635378181967,-0.12209584240642879,0.01706230641882293,6.22774184287037,0.0,653.5538023446258,True,0.390808041968042
SPY260731P00655000,2026-07-24 19:01:07+00:00,655.0,0.11,0.09,0.1,-0.009999998,-8.333332,1014.0,2290,0.36524072265625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.095,0.010000000000000009,0.10526315789473693,0.8864168459799981,-0.12056795822837565,0.01706230641882293,6.22774184287037,0.0,654.5531200852139,True,0.38649496691567825
